Ticker,Company Name,Market Cap Previous Month (EUR),Market Cap Latest Month (EUR),Difference (EUR),Difference (%),Previous Month Date,Latest Month Date
9983.T,9983.T,12139098057185.40,11747608492886.28,-391489564299.12,-3.23%,2024-04-30,2024-05-31
7936.T,7936.T,1179912407742.43,1511416092816.00,331503685073.57,28.10%,2024-04-30,2024-05-31
MC.PA,MC.PA,368472216104.36,349677468511.21,-18794747593.15,-5.10%,2024-04-30,2024-05-31
HM-B.ST,HM-B.ST,272329513325.10,285965248504.32,13635735179.22,5.01%,2024-04-30,2024-05-31
ABFRL.NS,ABFRL.NS,236601275190.30,258777022085.18,22175746894.88,9.37%,2024-04-30,2024-05-31
RMS.PA,RMS.PA,224564018239.93,217081876361.66,-7482141878.27,-3.33%,2024-04-30,2024-05-31
1913.HK,1913.HK,156728021659.24,157215511617.75,487489958.50,0.31%,2024-04-30,2024-05-31
NKE,NKE,133156341804.01,135602998095.60,2446656291.59,1.84%,2024-04-30,2024-05-31
ITX.MC,ITX.MC,127066771248.51,129172194996.63,2105423748.12,1.66%,2024-04-30,2024-05-31
CDI.PA,CDI.PA,125537814472.95,120640035263.53,-4897779209.42,-3.90%,2024-04-30,2024-05-31
TJX,TJX,101502090514.77,110990746131.49,9488655616.71,9.35%,2024-04-30,2024-05-31
1929.HK,1929.HK,102495456000.00,95637023999.05,-6858432000.95,-6.69%,2024-04-30,2024-05-31
ARVIND.NS,ARVIND.NS,78491077730.85,94012404957.60,15521327226.75,19.77%,2024-04-30,2024-05-31
EL.PA,EL.PA,86461620540.77,88399256459.28,1937635918.51,2.24%,2024-04-30,2024-05-31
8016.T,8016.T,78491469507.35,83146647270.55,4655177763.20,5.93%,2024-04-30,2024-05-31
CFR.SW,CFR.SW,71313427248.10,80318211063.54,9004783815.44,12.63%,2024-04-30,2024-05-31
3612.T,3612.T,67488189173.76,68621978507.04,1133789333.28,1.68%,2024-04-30,2024-05-31
CTAS,CTAS,63112137758.35,64543350332.88,1431212574.53,2.27%,2024-04-30,2024-05-31
PPH.JO,PPH.JO,62306874018.17,59381637840.00,-2925236178.17,-4.69%,2024-04-30,2024-05-31
2331.HK,2331.HK,50766385718.95,49548966397.61,-1217419321.34,-2.40%,2024-04-30,2024-05-31
3998.HK,3998.HK,47462344840.78,47357571452.80,-104773387.98,-0.22%,2024-04-30,2024-05-31
7606.T,7606.T,47868502244.02,47191303478.39,-677198765.63,-1.41%,2024-04-30,2024-05-31
ROST,ROST,40878611258.18,43851886338.36,2973275080.17,7.27%,2024-04-30,2024-05-31
LUXIND.NS,LUXIND.NS,42861633882.08,41680024313.61,-1181609568.46,-2.76%,2024-04-30,2024-05-31
ADS.DE,ADS.DE,38506495355.65,39597427495.20,1090932139.55,2.83%,2024-04-30,2024-05-31
LULU,LULU,43358451571.01,37513597630.72,-5844853940.28,-13.48%,2024-04-30,2024-05-31
600612.SS,600612.SS,38483790579.38,37477222445.85,-1006568133.53,-2.62%,2024-04-30,2024-05-31
KER.PA,KER.PA,38494589079.59,37001465624.19,-1493123455.40,-3.88%,2024-04-30,2024-05-31
MAVI.IS,MAVI.IS,35002941220.80,36119251238.11,1116310017.31,3.19%,2024-04-30,2024-05-31
DOLLAR.NS,DOLLAR.NS,31334794214.98,30713415067.18,-621379147.80,-1.98%,2024-04-30,2024-05-31
LPP.WA,LPP.WA,27797738040.07,30642897496.18,2845159456.10,10.24%,2024-04-30,2024-05-31
6110.HK,6110.HK,32252554077.59,30125932480.26,-2126621597.33,-6.59%,2024-04-30,2024-05-31
DECK,DECK,19863470659.13,26548698560.03,6685227900.89,33.66%,2024-04-30,2024-05-31
DKS,DKS,15383413252.37,17473461993.39,2090048741.02,13.59%,2024-04-30,2024-05-31
002563.SZ,002563.SZ,16732162048.53,16347219670.11,-384942378.42,-2.30%,2024-04-30,2024-05-31
MONC.MI,MONC.MI,16497603100.69,15756600341.21,-741002759.48,-4.49%,2024-04-30,2024-05-31
BURL,BURL,10963726428.38,14604872390.39,3641145962.01,33.21%,2024-04-30,2024-05-31
ONON,ONON,9898922689.57,13262997518.66,3364074829.10,33.98%,2024-04-30,2024-05-31
MONTECARLO.NS,MONTECARLO.NS,13480628854.24,12161147781.28,-1319481072.96,-9.79%,2024-04-30,2024-05-31
LREN3.SA,LREN3.SA,13958719946.09,11946406111.72,-2012313834.37,-14.42%,2024-04-30,2024-05-31
RL,RL,10131999696.00,11446326743.04,1314327047.04,12.97%,2024-04-30,2024-05-31
BBWI,BBWI,9734686920.00,11132092440.00,1397405520.00,14.35%,2024-04-30,2024-05-31
UHR.SW,UHR.SW,10971997896.45,10943668441.04,-28329455.41,-0.26%,2024-04-30,2024-05-31
NXT.L,NXT.L,10385480480.48,10765943242.60,380462762.13,3.66%,2024-04-30,2024-05-31
SKX,SKX,9621078803.78,10403292175.11,782213371.33,8.13%,2024-04-30,2024-05-31
GPS,GPS,7271309606.40,10317215462.40,3045905856.00,41.89%,2024-04-30,2024-05-31
BIRK,BIRK,8010031081.84,10198163317.18,2188132235.35,27.32%,2024-04-30,2024-05-31
TPR,TPR,8719406559.36,9507458494.80,788051935.44,9.04%,2024-04-30,2024-05-31
