Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
1,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",317326712031,EUR,317326712031,370929773616.29004,0,PAR,true,,,,2025-01-02
2,RMS.PA,Hermès International Société en commandite par actions,241199379720,EUR,241199379720,281942956340.8105,0,PAR,true,,,,2025-01-02
3,ITX.MC,"Industria de Diseño Textil, S.A.",156649682400,EUR,156649682400,183111061964.4882,0,BME,true,,,,2025-01-02
4,TJX,"The TJX Companies, Inc.",137868700000,USD,117945294163,137868700000,0,NYSE,true,,,,2025-01-02
5,CDI.PA,Christian Dior SE,108426758580,EUR,108426758580,126742286385.58018,0,PAR,true,,,,2025-01-02
6,EL.PA,EssilorLuxottica S.A.,108149286318,EUR,108149286318,126417943305.00648,0,PAR,true,,,,2025-01-02
7,NKE,"NIKE, Inc.",109591492000,USD,93754425491.08,109591492000,0,NYSE,true,,,,2025-01-02
8,9983.T,"Fast Retailing Co., Ltd.",15107165207080,JPY,87940772601.8896,102796404560.9069,49240,JPX,true,,,,2025-01-02
9,CFR.SW,Compagnie Financière Richemont S.A.,77911402728,CHF,82717276492.19662,96687063610.52853,132.65,SIX,true,,,,2025-01-02
10,CTAS,Cintas Corporation,73522297210,USD,62897590040.1829,73522297210,0,NASDAQ,true,,,,2025-01-02
11,ROST,"Ross Stores, Inc.",49749736400,USD,42560401992.836,49749736400,0,NASDAQ,true,,,,2025-01-02
12,ADS.DE,adidas AG,42262568182,EUR,42262568182,49401592282.7853,0,XETRA,true,,,,2025-01-02
13,LULU,Lululemon Athletica Inc.,45303797730,USD,38756945920.0377,45303797730,0,NASDAQ,true,,,,2025-01-02
14,KER.PA,Kering S.A.,28919702470,EUR,28919702470,33804839881.23765,0,PAR,true,,,,2025-01-02
15,DECK,Deckers Outdoor Corporation,31088443680,USD,26595852683.8032,31088443680,0,NYSE,true,,,,2025-01-02
16,HM-B.ST,H & M Hennes & Mauritz AB (publ),238668036250,SEK,21358407337.373226,24967443433.896458,0,STO,true,,,,2025-01-02
17,7936.T,ASICS Corporation,3042345959640,JPY,17709891336.039192,20701582447.435394,4245,JPX,true,,,,2025-01-02
18,1913.HK,Prada S.p.A.,160950029600,HKD,17609542738.536,20581766259.208725,0,HKSE,true,,,,2025-01-02
19,ONON,On Holding AG,18764277728,USD,16052651953.52672,18764277728,0,NYSE,true,,,,2025-01-02
20,DKS,"DICK'S Sporting Goods, Inc.",18255590230,USD,15617474885.8627,18255590230,0,NYSE,true,,,,2025-01-02
21,BURL,"Burlington Stores, Inc.",18166305400,USD,15541092606.646,18166305400,0,NYSE,true,,,,2025-01-02
22,MONC.MI,Moncler S.p.A.,13764626016,EUR,13764626016,16089756766.297676,0,MIL,true,,,,2025-01-02
23,TPR,"Tapestry, Inc.",15193344999,USD,12997754713.19451,15193344999,0,NYSE,true,,,,2025-01-02
24,RL,Ralph Lauren Corporation,14403032000,USD,12321649845.68,14403032000,0,NYSE,true,,,,2025-01-02
25,BIRK,Birkenstock Holding plc,10760734982,USD,9205701169.75118,10760734982,0,NYSE,true,,,,2025-01-02
26,DOCS,"Doximity, Inc.",10088668720,USD,8630755203.2728,10088668720,0,NYSE,true,,,,2025-01-02
27,SKX,"Skechers U.S.A., Inc.",10053866190,USD,8600981986.8831,10053866190,0,NYSE,true,,,,2025-01-02
28,ZAL.DE,Zalando SE,7974450000,EUR,7974450000,9321499959.087774,0,XETRA,true,,,,2025-01-02
29,GPS,"The Gap, Inc.",9207895046,USD,7877262132.90254,9207895046,24.55,NYSE,true,,,,2025-01-02
30,GAP,"The Gap, Inc.",9102045839,USD,7786709194.806109,9102045839,0,NYSE,true,,,,2025-01-02
31,UHR.SW,The Swatch Group AG,7254509736,CHF,7701995685.316914,9002754664.250877,138.7,SIX,true,,,,2025-01-02
32,VFC,V.F. Corporation,8421192240,USD,7204245749.3976,8421192240,0,NYSE,true,,,,2025-01-02
33,BC.MI,Brunello Cucinelli S.p.A.,7129863000,EUR,7129863000,8334244701.866766,0,MIL,true,,,,2025-01-02
34,1929.HK,Chow Tai Fook Jewellery Group Limited,65053919303,HKD,7117549310.94123,8318883598.016888,0,HKSE,true,,,,2025-01-02
35,BBWI,"Bath & Body Works, Inc.",8188559999,USD,7005231193.54451,8188559999,0,NYSE,true,,,,2025-01-02
36,LPP.WA,Lpp S.A.,29610588000,PLN,6949308897.72,8130823198.609467,0,WSE,true,,,,2025-01-02
37,GIL.TO,Gildan Activewear Inc.,10829233004,CAD,6718261567.953546,7852846952.183435,0,TSX,true,,,,2025-01-02
38,ANF,Abercrombie & Fitch Co.,7832705529,USD,6700801253.0042095,7832705529,0,NYSE,true,,,,2025-01-02
39,PUM.DE,PUMA Se,6535883980,EUR,6535883980,7639930308.94575,0,XETRA,true,,,,2025-01-02
40,DDS,"Dillard's, Inc.",7166289000,USD,6130688576.61,7166289000,0,NYSE,true,,,,2025-01-02
41,LEVI,Levi Strauss & Co.,6936418393,USD,5934036571.02757,6936418393,0,NYSE,true,,,,2025-01-02
42,VIPS,Vipshop Holdings Limited,6710281770,USD,5740578951.4173,6710281770,0,NYSE,true,,,,2025-01-02
43,CROX,"Crocs, Inc.",6339378450,USD,5423274870.1905,6339378450,0,NASDAQ,true,,,,2025-01-02
44,PVH,PVH Corp.,5746328000,USD,4915926140.72,5746328000,0,NYSE,true,,,,2025-01-02
45,3998.HK,Bosideng International Holdings Limited,43717150162,HKD,4783093399.22442,5590406962.888889,0,HKSE,true,,,,2025-01-02
46,URBN,"Urban Outfitters, Inc.",5244659937,USD,4486754129.504129,5244659937,0,NASDAQ,true,,,,2025-01-02
47,2331.HK,Li Ning Company Limited,40899924560,HKD,4474860746.1096,5230149316.562724,0,HKSE,true,,,,2025-01-02
48,COLM,Columbia Sportswear Company,4777085950,USD,4086749259.3655,4777085950,0,NASDAQ,true,,,,2025-01-02
49,KTB,"Kontoor Brands, Inc.",4713001840,USD,4031925944.1015997,4713001840,0,NYSE,true,,,,2025-01-02
50,BOOT,"Boot Barn Holdings, Inc.",4656436200,USD,3983534604.738,4656436200,0,NYSE,true,,,,2025-01-02
51,M,"Macy's, Inc.",4611960000,USD,3945485660.4,4611960000,0,NYSE,true,,,,2025-01-02
52,ATZ.TO,Aritzia Inc.,6063267840,CAD,3761542418.621387,4396794709.286305,0,TSX,true,,,,2025-01-02
53,600612.SS,"Lao Feng Xiang Co., Ltd.",28860406984,CNY,3439693814.8360033,4020619242.4179106,0,SHH,true,,,,2025-01-02
54,JWN,"Nordstrom, Inc.",3987165000,USD,3410979785.85,3987165000,0,NYSE,true,,,,2025-01-02
55,BOSS.DE,Hugo Boss AG,3029480991,EUR,3029480991,3541223148.137325,0,XETRA,true,,,,2025-01-02
56,AEO,"American Eagle Outfitters, Inc.",3263213610,USD,2791646611.2188997,3263213610,0,NYSE,true,,,,2025-01-02
57,VSCO,Victoria's Secret & Co.,3193180000,USD,2731733558.2,3193180000,0,NYSE,true,,,,2025-01-02
58,UA,"Under Armour, Inc.",3143096320,USD,2688887470.7968,3143096320,0,NYSE,true,,,,2025-01-02
59,UNF,UniFirst Corporation,3047024800,USD,2606699246.152,3047024800,0,NYSE,true,,,,2025-01-02
60,SHOO,"Steven Madden, Ltd.",2969635080,USD,2540493114.5892,2969635080,0,NASDAQ,true,,,,2025-01-02
61,HBI,Hanesbrands Inc.,2827419210,USD,2418828859.9628997,2827419210,0,NYSE,true,,,,2025-01-02
62,002563.SZ,"Zhejiang Semir Garment Co., Ltd.",18783913029,CNY,2238738680.9925632,2616836353.4918714,0,SHZ,true,,,,2025-01-02
63,BKE,"The Buckle, Inc.",2548037940,USD,2179820977.2906,2548037940,0,NYSE,true,,,,2025-01-02
64,FOI-B.ST,Fenix Outdoor International AG,24135248000,SEK,2159863826.22496,2524826737.0493464,0,STO,true,,,,2025-01-02
65,CPRI,Capri Holdings Limited,2441612536,USD,2088775108.4226398,2441612536,0,NYSE,true,,,,2025-01-02
