Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
CFR.SW,Compagnie Financière Richemont S.A.,28940052150.01,96577730330.97,67637678180.96,233.72,13,8,+5,1.4475,4.7923
SFL.MI,Safilo Group S.p.A.,436474538.57,575052848.08,138578309.51,31.75,103,95,+8,0.0218,0.0285
PMNT,Perfect Moment Ltd. Common Stock,3753193.69,4610604.31,857410.62,22.84,147,147,0,0.0002,0.0002
TPR,"Tapestry, Inc.",18022662000.00,22038063000.00,4015401000.00,22.28,16,15,+1,0.9014,1.0935
GFG.DE,Global Fashion Group S.A.,79282385.53,94618977.43,15336591.89,19.34,131,128,+3,0.0040,0.0047
KSS,Kohl's Corporation,1016760000.00,1191030000.00,174270000.00,17.14,80,74,+6,0.0509,0.0591
WWW,"Wolverine World Wide, Inc.",1539755999.00,1788312000.00,248556001.00,16.14,72,67,+5,0.0770,0.0887
ATZ.TO,Aritzia Inc.,5294888123.45,6122461760.53,827573637.08,15.63,44,41,+3,0.2648,0.3038
BURL,"Burlington Stores, Inc.",14953117760.00,17234379840.00,2281262080.00,15.26,24,19,+5,0.7479,0.8552
TDUP,ThredUp Inc.,909077420.00,1018729250.00,109651830.00,12.06,86,78,+8,0.0455,0.0506
SMCP.PA,SMCP S.a.,406494045.52,450658587.48,44164541.96,10.86,105,103,+2,0.0203,0.0224
KER.PA,Kering S.A.,28020295988.26,30976815557.17,2956519568.90,10.55,14,13,+1,1.4015,1.5371
GCO,Genesco Inc.,224488050.00,248101800.00,23613750.00,10.52,115,113,+2,0.0112,0.0123
FIGS,"FIGS, Inc.",917932832.00,1008913785.00,90980953.00,9.91,84,80,+4,0.0459,0.0501
3612.T,"World Co., Ltd.",606388828.40,665026039.38,58637210.98,9.67,92,88,+4,0.0303,0.0330
BOOT,"Boot Barn Holdings, Inc.",4769069760.00,5228550440.00,459480680.00,9.63,46,45,+1,0.2385,0.2594
UHR.SW,The Swatch Group AG,8228848667.80,8999509259.01,770660591.21,9.37,34,30,+4,0.4116,0.4466
RCKY,"Rocky Brands, Inc.",171706180.00,187121880.00,15415700.00,8.98,119,118,+1,0.0086,0.0093
LPP.WA,Lpp S.A.,7580479752.98,8244960596.08,664480843.11,8.77,36,31,+5,0.3792,0.4091
EL.PA,EssilorLuxottica S.A.,126795793690.17,137807433500.10,11011639809.93,8.68,5,5,0,6.3420,6.8381
RL,Ralph Lauren Corporation,16598100000.00,17919970000.00,1321870000.00,7.96,20,17,+3,0.8302,0.8892
LANV,Lanvin Group Holdings Limited,253411200.00,273355600.00,19944400.00,7.87,113,110,+3,0.0127,0.0136
SVV,"Savers Value Village, Inc.",1671475359.00,1794642080.00,123166721.00,7.37,68,66,+2,0.0836,0.0891
LINDEX.HE,Lindex Group Oyj,488590882.42,521793600.16,33202717.74,6.80,100,99,+1,0.0244,0.0259
BOOZT.ST,Boozt AB (publ),549614532.43,583986501.97,34371969.53,6.25,95,93,+2,0.0275,0.0290
BRBY.L,Burberry Group plc,58710057.23,62300589.66,3590532.43,6.12,135,132,+3,0.0029,0.0031
PLCE,"The Children's Place, Inc.",92572120.00,98195660.00,5623540.00,6.07,128,126,+2,0.0046,0.0049
7606.T,United Arrows Ltd.,395445839.71,418176930.73,22731091.02,5.75,106,105,+1,0.0198,0.0208
REAL,"The RealReal, Inc.",547402895.00,578304671.00,30901776.00,5.65,97,94,+3,0.0274,0.0287
ROST,"Ross Stores, Inc.",42224263690.00,44511397770.00,2287134080.00,5.42,11,11,0,2.1120,2.2087
AEO,"American Eagle Outfitters, Inc.",1829594120.00,1928345520.00,98751400.00,5.40,66,65,+1,0.0915,0.0957
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,388601837.09,407643327.11,19041490.02,4.90,107,106,+1,0.0194,0.0202
BKE,"The Buckle, Inc.",2367384840.00,2471296770.00,103911930.00,4.39,61,59,+2,0.1184,0.1226
8016.T,"Onward Holdings Co., Ltd.",548647157.03,571738367.35,23091210.31,4.21,96,96,0,0.0274,0.0284
DDS,"Dillard's, Inc.",7117742000.00,7403090000.00,285348000.00,4.01,38,36,+2,0.3560,0.3673
URBN,"Urban Outfitters, Inc.",6752029680.00,6992419919.00,240390239.00,3.56,41,39,+2,0.3377,0.3470
GOOS,Canada Goose Holdings Inc.,1064788835.00,1101439640.00,36650805.00,3.44,77,75,+2,0.0533,0.0547
002563.SZ,"Zhejiang Semir Garment Co., Ltd.",1933696478.04,1997157559.38,63461081.34,3.28,64,64,0,0.0967,0.0991
ANF,Abercrombie & Fitch Co.,4417491922.00,4557118097.00,139626175.00,3.16,47,46,+1,0.2210,0.2261
002269.SZ,"Shanghai Metersbonwe Fashion and Accessories Co., Ltd.",626028772.66,643040424.07,17011651.41,2.72,91,90,+1,0.0313,0.0319
LITB,"LightInTheBox Holding Co., Ltd.",11034058.00,11309910.00,275852.00,2.50,144,143,+1,0.0006,0.0006
NXT.MC,"Nueva Expresión Textil, S.A.",184389060.07,188415021.80,4025961.73,2.18,117,117,0,0.0092,0.0093
BOSS.DE,Hugo Boss AG,3217296215.03,3285869479.48,68573264.44,2.13,57,52,+5,0.1609,0.1630
LEVI,Levi Strauss & Co.,7483401611.00,7626965032.00,143563421.00,1.92,37,35,+2,0.3743,0.3785
VAN.BR,Van de Velde N.V.,485802722.42,493911720.77,8108998.35,1.67,101,101,0,0.0243,0.0245
NKE,"NIKE, Inc.",108404547000.00,110191354000.00,1786807000.00,1.65,6,6,0,5.4221,5.4678
DOLLAR.NS,Dollar Industries Limited,242113038.32,246069345.67,3956307.35,1.63,114,114,0,0.0121,0.0122
MEKKO.HE,Marimekko Oyj,604328895.72,613675971.67,9347075.94,1.55,93,92,+1,0.0302,0.0305
RVRC.ST,RVRC Holding AB (publ),500106744.94,507673696.98,7566952.05,1.51,98,100,-2,0.0250,0.0252
JILL,"J.Jill, Inc.",176476698.00,178334347.00,1857649.00,1.05,118,119,-1,0.0088,0.0088
TJX,"The TJX Companies, Inc.",141681120000.00,142632000000.00,950880000.00,0.67,4,4,0,7.0865,7.0775
FOSL,"Fossil Group, Inc.",82935780.00,83460690.00,524910.00,0.63,130,130,0,0.0041,0.0041
