Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
1,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",237620474637,EUR,237620474637,277759499978.9594,0,PAR,true,,,,2025-08-15
2,RMS.PA,Hermès International Société en commandite par actions,218138161320,EUR,218138161320,254986219967.504,0,PAR,true,,,,2025-08-15
3,ITX.MC,"Industria de Diseño Textil, S.A.",134952110160,EUR,134952110160,157748319863.47006,0,BME,true,,,,2025-08-15
4,TJX,"The TJX Companies, Inc.",148321679000,USD,126887713167.70999,148321679000,132.95,NYSE,true,,,,2025-08-15
5,EL.PA,EssilorLuxottica S.A.,123526618660,EUR,123526618660,144392825936.01328,0,PAR,true,,,,2025-08-15
6,NKE,"NIKE, Inc.",112821958599,USD,96518057361.8585,112821958599,76.39,NYSE,true,,,,2025-08-15
7,CFR.SW,Compagnie Financière Richemont S.A.,88338835172,CHF,93787912912.19876,109627375152.95169,0,SIX,true,,,,2025-08-15
8,9983.T,"Fast Retailing Co., Ltd.",15106881240000,JPY,87939119592.6012,102794472312.5706,0,JPX,true,,,,2025-08-15
9,CDI.PA,Christian Dior SE,82772374104,EUR,82772374104,96754344415.48119,0,PAR,true,,,,2025-08-15
10,CTAS,Cintas Corporation,89203210080,USD,76312454191.3392,89203210080,221.36,NASDAQ,true,,,,2025-08-15
11,ROST,"Ross Stores, Inc.",48203723980,USD,41237803827.6502,48203723980,147.38,NASDAQ,true,,,,2025-08-15
12,ADS.DE,adidas AG,29947826160,EUR,29947826160,35006634981.121925,0,XETRA,true,,,,2025-08-15
13,KER.PA,Kering S.A.,26065119931,EUR,26065119931,30468059160.24734,0,PAR,true,,,,2025-08-15
14,HM-B.ST,H & M Hennes & Mauritz AB (publ),228319069300,SEK,20432278078.038387,23884821516.930862,0,STO,true,,,,2025-08-15
15,LULU,Lululemon Athletica Inc.,22393953510,USD,19157803288.2699,22393953510,195.19,NASDAQ,true,,,,2025-08-15
16,7936.T,ASICS Corporation,3035071927155,JPY,17667548247.319786,20652086438.36502,0,JPX,true,,,,2025-08-15
17,TPR,"Tapestry, Inc.",19873856100,USD,17001885154.989,19873856100,95.69,NYSE,true,,,,2025-08-15
18,1929.HK,Chow Tai Fook Jewellery Group Limited,140524941060,HKD,15374833801.3746,17969872373.891148,0,HKSE,true,,,,2025-08-15
19,DKS,"DICK'S Sporting Goods, Inc.",17845497712,USD,15266644837.63888,17845497712,222.81,NYSE,true,,,,2025-08-15
20,BURL,"Burlington Stores, Inc.",17748181311,USD,15183391629.747389,17748181311,281.33,NYSE,true,,,,2025-08-15
21,RL,Ralph Lauren Corporation,17590122772,USD,15048174130.218279,17590122772,290.39,NYSE,true,,,,2025-08-15
22,DECK,Deckers Outdoor Corporation,15406903980,USD,13180452285.850199,15406903980,103.86,NYSE,true,,,,2025-08-15
23,MONC.MI,Moncler S.p.A.,12547843585,EUR,12547843585,14667434552.12802,46.2,MIL,true,,,,2025-08-15
24,ONON,On Holding AG,14417711396,USD,12334207922.16404,14417711396,44.21,NYSE,true,,,,2025-08-15
25,1913.HK,Prada S.p.A.,106140019519,HKD,11612779535.57379,13572840451.89085,0,HKSE,true,,,,2025-08-15
26,DOCS,"Doximity, Inc.",11908922231,USD,10187963879.39819,11908922231,63.54,NYSE,true,,,,2025-08-15
27,SKX,"Skechers U.S.A., Inc.",9470393331,USD,8101826790.737189,9470393331,63.02,NYSE,true,,,,2025-08-15
28,GPS,"The Gap, Inc.",9207895046,USD,7877262132.90254,9207895046,24.55,NYSE,true,,,,2025-08-15
29,BIRK,Birkenstock Holding plc,9093014894,USD,7778983311.668059,9093014894,48.41,NYSE,true,,,,2025-08-15
30,VIPS,Vipshop Holdings Limited,8922921974,USD,7633470519.53726,8922921974,17.33,NYSE,true,,,,2025-08-15
31,UHR.SW,The Swatch Group AG,7160017448,CHF,7601674751.035142,8885490932.105583,0,SIX,true,,,,2025-08-15
32,GIL.TO,Gildan Activewear Inc.,11609163500,CAD,7202116433.299625,8418415613.986745,77.75,TSX,true,,,,2025-08-15
33,LPP.WA,Lpp S.A.,30399478200,PLN,7134453538.758,8347445939.749077,16380,WSE,true,,,,2025-08-15
34,LEVI,Levi Strauss & Co.,8201916292,USD,7016657368.64308,8201916292,20.73,NYSE,true,,,,2025-08-15
35,GAP,"The Gap, Inc.",7789638960,USD,6663958233.8904,7789638960,20.88,NYSE,true,,,,2025-08-15
36,DDS,"Dillard's, Inc.",7786671490,USD,6661419592.9801,7786671490,498.73,NYSE,true,,,,2025-08-15
