Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
1,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",230553787549,EUR,230553787549,269499102910.6126,0,PAR,true,,,,2025-08-01
2,RMS.PA,Hermès International Société en commandite par actions,217823690160,EUR,217823690160,254618628107.86798,0,PAR,true,,,,2025-08-01
3,ITX.MC,"Industria de Diseño Textil, S.A.",128129738940,EUR,128129738940,149773508679.23645,0,BME,true,,,,2025-08-01
4,TJX,"The TJX Companies, Inc.",142632000000,USD,122020249680,142632000000,0,NYSE,true,,,,2025-08-01
5,EL.PA,EssilorLuxottica S.A.,117892881285,EUR,117892881285,137807433500.09937,0,PAR,true,,,,2025-08-01
6,NKE,"NIKE, Inc.",110191354000,USD,94267601433.45999,110191354000,0,NYSE,true,,,,2025-08-01
7,9983.T,"Fast Retailing Co., Ltd.",14391331260000,JPY,83773810137.5238,97925526734.8022,0,JPX,true,,,,2025-08-01
8,CFR.SW,Compagnie Financière Richemont S.A.,77823300878,CHF,82623740182.60962,96577730330.97133,132.5,SIX,true,,,,2025-08-01
9,CDI.PA,Christian Dior SE,79452819432,EUR,79452819432,92874048126.80452,0,PAR,true,,,,2025-08-01
10,CTAS,Cintas Corporation,89355758000,USD,76442957411.42,89355758000,0,NASDAQ,true,,,,2025-08-01
11,ROST,"Ross Stores, Inc.",44511397770,USD,38079055678.2573,44511397770,0,NASDAQ,true,,,,2025-08-01
12,ADS.DE,adidas AG,29814130507,EUR,29814130507,34850355360.08603,0,XETRA,true,,,,2025-08-01
13,KER.PA,Kering S.A.,26500355941,EUR,26500355941,30976815557.166065,0,PAR,true,,,,2025-08-01
14,LULU,Lululemon Athletica Inc.,23321784560,USD,19951553473.234398,23321784560,0,NASDAQ,true,,,,2025-08-01
15,TPR,"Tapestry, Inc.",22038063000,USD,18853342515.87,22038063000,0,NYSE,true,,,,2025-08-01
16,HM-B.ST,H & M Hennes & Mauritz AB (publ),205936419850,SEK,18429254331.104897,21543336905.81923,0,STO,true,,,,2025-08-01
17,RL,Ralph Lauren Corporation,17919970000,USD,15330355135.3,17919970000,0,NYSE,true,,,,2025-08-01
18,7936.T,ASICS Corporation,2548888438235,JPY,14837410954.462906,17343860577.802425,0,JPX,true,,,,2025-08-01
